KeyElement	Subject	RelationshipCategory	Predicate	Cardinality				
Patient	RTCourse	ChildElement-Of	Patient	Many to One		RTCourse	 part-of 	Patient	
Patient	RTPrescription	ChildElement-Of	Patient	Many to One		RTPrescription	 part-of 	Patient	
Patient	DiagStaging	ChildElement-Of	Patient	Many to One		DiagStaging	 part-of 	Patient	
Patient	RTTreatedPlan	InstanceAssociated-with	Patient	Many to One	*	RTTreatedPlan	 characteristic-of 	Patient	
Patient	ReIrradiationEvaluation	ChildElement-Of	Patient	Many to One		ReIrradiationEvaluation	 part-of 	Patient	
Patient	PatientTreatmentOutcome	ChildElement-Of	Patient	Many to One		PatientTreatmentOutcome	 part-of 	Patient	
Patient	PlanningStructureSet	ChildElement-Of	Patient	Many to One		PlanningStructureSet	 part-of 	Patient	
Patient	ProviderReportedToxicity	ChildElement-Of	Patient	Many to One		ProviderReportedToxicity	 part-of 	Patient	
Patient	PRO	ChildElement-Of	Patient	Many to One		PRO	 part-of 	Patient	
Patient	PatientInformation	ChildElement-Of	Patient	Many to One		PatientInformation	 part-of 	Patient	
Patient	LabResult	ChildElement-Of	Patient	Many to One		LabResult	 part-of 	Patient	
Patient	SupportiveMedication	ChildElement-Of	Patient	Many to One		SupportiveMedication	 part-of 	Patient	
Patient	SysTherCourse	ChildElement-Of	Patient	Many to One		SysTherCourse	 part-of 	Patient	
Patient	InterventionalProcedure	ChildElement-Of	Patient	Many to One		InterventionalProcedure	 part-of 	Patient	
Patient	Charge	ChildElement-Of	Patient	Many to One		Charge	 part-of 	Patient	
PatientInformation	PatientInformation	ChildElement-Of	Patient	ManyToOne		PatientInformation	 part-of 	Patient	
DiagStaging	DiagStaging	ChildElement-Of	Patient	ManyToOne		DiagStaging	 part-of 	Patient	
DiagStaging	DiagStaging	InstanceAssociated-with	RTCourse	OneToMany	*	DiagStaging	 characteristic-of 	RTCourse	
DiagStaging	DiagStaging	InstanceAssociated-with	SysTherCourse	OneToOne	*	DiagStaging	 characteristic-of 	SysTherCourse	
DiagStaging	DiagStaging	InstanceAssociated-with	InterventionalProcedure	OneToMany	*	DiagStaging	 characteristic-of 	InterventionalProcedure	
DiagStagingHN	DiagStagingHN	ChildElement-Of	DiagStaging	One to One		DiagStagingHN	 part-of 	DiagStaging	
DiagStagingProst	DiagStagingProst	ChildElement-Of	DiagStaging	One to One		DiagStagingProst	 part-of 	DiagStaging	
DiagStagingTreatmentOverview	DiagStagingTreatmentOverview	ChildElement-Of	DiagStaging	One to One		DiagStagingTreatmentOverview	 part-of 	DiagStaging	
PatientTreatmentOutcome	PatientTreatmentOutcome	ChildElement-Of	Patient	Many to One		PatientTreatmentOutcome	 part-of 	Patient	
PatientTreatmentOutcome	PatientTreatmentOutcome	InstanceAssociated-with	RTCourse	One To Many	*	PatientTreatmentOutcome	 characteristic-of 	RTCourse	
PatientTreatmentOutcome	PatientTreatmentOutcome	InstanceAssociated-with	SysTherCourse	OneToMany	*	PatientTreatmentOutcome	 characteristic-of 	SysTherCourse	
PatientTreatmentOutcome	PatientTreatmentOutcome	InstanceAssociated-with	InterventionalProcedure	OneToMany	*	PatientTreatmentOutcome	 characteristic-of 	InterventionalProcedure	
ProviderReportedToxicity	ProviderReportedToxicity	ChildElement-Of	Patient	Many To One		ProviderReportedToxicity	 part-of 	Patient	
ProviderReportedToxicity	ProviderReportedToxicity	InstanceAssociated-with	RTCourse	One To Many	*	ProviderReportedToxicity	 characteristic-of 	RTCourse	
ProviderReportedToxicity	ProviderReportedToxicity	InstanceAssociated-with	SysTherCourse	One To Many	*	ProviderReportedToxicity	 characteristic-of 	SysTherCourse	
ProviderReportedToxicity	ProviderReportedToxicity	InstanceAssociated-with	InterventionalProcedure	One To Many	*	ProviderReportedToxicity	 characteristic-of 	InterventionalProcedure	
PRO	PRO	ChildElement-Of	Patient	Many To One		PRO	 part-of 	Patient	
PRO	PRO	InstanceAssociated-with	RTCourse	One To Many	*	PRO	 characteristic-of 	RTCourse	
PRO	PRO	InstanceAssociated-with	SysTherCourse	One To Many	*	PRO	 characteristic-of 	SysTherCourse	
PRO	PRO	InstanceAssociated-with	InterventionalProcedure	One To Many	*	PRO	 characteristic-of 	InterventionalProcedure	
PerformanceScore	PerformanceScore	ChildElement-Of	Patient	Many to One		PerformanceScore	 part-of 	Patient	
RTCourse	RTCourse	ChildElement-Of	Patient	Many to One		RTCourse	 part-of 	Patient	
RTCourse	DiagStaging	InstanceAssociated-with	RTCourse	One to Many	*	DiagStaging	 characteristic-of 	RTCourse	
RTCourse	RTPrescription	InstanceAssociated-with	RTCourse	Many to One	*	RTPrescription	 characteristic-of 	RTCourse	
RTCourse	RTCourse	InstanceAssociated-with	HCO_Site	Many to One	*	RTCourse	 characteristic-of 	HCO_Site	
RTCourse	RTTreatedPlan	ChildElement-Of	RTCourse	Many to One		RTTreatedPlan	 part-of 	RTCourse	
RTCourse	Charge	InstanceAssociated-with	RTCourse	Many to One	*	Charge	 characteristic-of 	RTCourse	
RTCourseTargetDose	RTCourseTargetDose	ChildElement-Of	RTCourse	Many to One		RTCourseTargetDose	 part-of 	RTCourse	
RTCourseEvent	RTCourseEvent	ChildElement-Of	RTCourse	Many to One		RTCourseEvent	 part-of 	RTCourse	
RTCourseSession	RTCourseSession	ChildElement-Of	RTCourse	Many to One		RTCourseSession	 part-of 	RTCourse	
RTCourseSession	RTTreatedPlanFraction	ChildElement-Of	RTCourseSession	Many to One		RTTreatedPlanFraction	 part-of 	RTCourseSession	
RTPhase	RTPhase	ChildElement-Of	RTCourse	ManyToOne		RTPhase	 part-of 	RTCourse	
RTPhase	RTPhase	InstanceAssociated-with	RTPrescription	OneToOne	*	RTPhase	 characteristic-of 	RTPrescription	
RTPhaseTargetDose	RTPhaseTargetDose	ChildElement-Of	RTPhase	ManyToOne		RTPhaseTargetDose	 part-of 	RTPhase	
RTPrescription	RTPrescription	ChildElement-Of	Patient	Many to One		RTPrescription	 part-of 	Patient	
RTPrescription	RTPrescription	ChildElement-Of	RTCourse	Many to One		RTPrescription	 part-of 	RTCourse	
RTPrescription	RTPrescription	InstanceAssociated-with	DiagStaging	One to Many	*	RTPrescription	 characteristic-of 	DiagStaging	
RTPrescription	RTPrescriptionTargetDose	ChildElement-Of	RTPrescription	Many to One		RTPrescriptionTargetDose	 part-of 	RTPrescription	
RTPrescription	RTPrescriptionDVHObjectives	ChildElement-Of	RTPrescription	Many to One		RTPrescriptionDVHObjectives	 part-of 	RTPrescription	
RTPrescription	RTTreatedPlan	InstanceAssociated-with	RTPrescription	Many to One	*	RTTreatedPlan	 characteristic-of 	RTPrescription	
RTPrescription	RTPrescription	InstanceAssociated-with	RTPhase	One to One	*	RTPrescription	 characteristic-of 	RTPhase	
RTPrescriptionTargetDose	RTPrescriptionTargetDose	ChildElement-Of	RTPrescription	Many to One		RTPrescriptionTargetDose	 part-of 	RTPrescription	
RTPrescriptionDoseObjective	RTPrescriptionDoseObjective	ChildElement-Of	RTPrescription	Many to One		RTPrescriptionDoseObjective	 part-of 	RTPrescription	
